client_id,target_week_start,y_count,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,woy_sin,woy_cos,split,count_threshold,y,prob_high_risk,alert
BB,2015-11-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6631226582407955,0.7485107481711007,train,165.0,0,0.0011591410711975566,0
BB,2015-11-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5680647467311559,0.8229838658936564,train,165.0,0,0.001055366196990406,0
BB,2015-11-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4647231720437684,0.88545602565321,train,165.0,0,0.0010136598144584543,0
BB,2015-11-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.35460488704253595,0.9350162426854147,train,165.0,0,0.001027689250419541,0
BB,2015-12-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2393156642875578,0.970941817426052,train,165.0,0,0.0010995725046274078,0
BB,2015-12-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12053668025532363,0.992708874098054,train,165.0,0,0.0012403520679879912,0
BB,2015-12-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.432490598706546e-16,1.0,train,165.0,0,0.001472487075294112,0
BB,2015-12-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12053668025532314,0.992708874098054,train,165.0,0,0.0018350101283209402,0
BB,2016-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12053668025532305,0.992708874098054,train,165.0,0,0.0018350101283209402,0
BB,2016-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23931566428755774,0.970941817426052,train,165.0,0,0.0023926627010834706,0
BB,2016-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3546048870425356,0.9350162426854148,train,165.0,0,0.0032512491443357117,0
BB,2016-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4647231720437685,0.8854560256532099,train,165.0,0,0.004582706868592003,0
BB,2016-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5680647467311558,0.8229838658936564,train,165.0,0,0.006664881096988635,0
BB,2016-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6631226582407952,0.7485107481711011,train,165.0,0,0.009942118415087976,0
BB,2016-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7485107481711011,0.6631226582407953,train,165.0,0,0.015111771061456286,0
BB,2016-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8229838658936564,0.5680647467311559,train,165.0,0,0.023234451648620907,0
BB,2016-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8854560256532099,0.4647231720437686,train,165.0,0,0.035845078420768846,0
BB,2016-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9350162426854148,0.35460488704253557,train,165.0,0,0.05499895900443675,0
BB,2016-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.970941817426052,0.23931566428755804,train,165.0,0,0.08312512207577291,0
BB,2016-03-21,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.992708874098054,0.120536680255323,train,165.0,0,0.12252148218693314,0
BB,2016-03-28,9.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.6081226496766366e-16,train,165.0,0,0.46565569653516786,0
BB,2016-04-04,31.0,9.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.992708874098054,-0.12053668025532288,train,165.0,0,0.4941529887879441,0
BB,2016-04-11,114.0,31.0,9.0,17.0,0.0,0.0,0.0,0.0,0.0,0.9709418174260521,-0.2393156642875575,train,165.0,0,0.7414324620657948,1
BB,2016-04-18,103.0,114.0,31.0,9.0,17.0,0.0,0.0,0.0,0.0,0.9350162426854148,-0.35460488704253545,train,165.0,0,0.7807840857347801,1
BB,2016-04-25,8.0,103.0,114.0,31.0,9.0,17.0,0.0,0.0,0.0,0.8854560256532099,-0.4647231720437685,train,165.0,0,0.8494009383725158,1
BB,2016-05-02,165.0,8.0,103.0,114.0,31.0,9.0,17.0,0.0,0.0,0.8229838658936565,-0.5680647467311557,train,165.0,0,0.7473281520786526,1
BB,2016-05-09,173.0,165.0,8.0,103.0,114.0,31.0,9.0,17.0,0.0,0.7485107481711013,-0.663122658240795,train,165.0,1,0.9249054297476869,1
BB,2016-05-16,95.0,173.0,165.0,8.0,103.0,114.0,31.0,9.0,17.0,0.6631226582407952,-0.7485107481711012,train,165.0,0,0.8982067526603702,1
BB,2016-05-23,233.0,95.0,173.0,165.0,8.0,103.0,114.0,31.0,9.0,0.5680647467311558,-0.8229838658936564,train,165.0,1,0.9601410987313922,1
BB,2016-05-30,87.0,233.0,95.0,173.0,165.0,8.0,103.0,114.0,31.0,0.46472317204376906,-0.8854560256532096,train,165.0,0,0.9415925790740346,1
BB,2016-06-06,132.0,87.0,233.0,95.0,173.0,165.0,8.0,103.0,114.0,0.35460488704253584,-0.9350162426854147,train,165.0,0,0.8235457828896524,1
BB,2016-06-13,48.0,132.0,87.0,233.0,95.0,173.0,165.0,8.0,103.0,0.23931566428755768,-0.970941817426052,train,165.0,0,0.9023827422137175,1
BB,2016-06-20,543.0,48.0,132.0,87.0,233.0,95.0,173.0,165.0,8.0,0.12053668025532308,-0.992708874098054,train,165.0,1,0.8895853005687752,1
BB,2016-06-27,677.0,543.0,48.0,132.0,87.0,233.0,95.0,173.0,165.0,-3.216245299353273e-16,-1.0,train,165.0,1,0.9345188353124818,1
BB,2016-07-04,255.0,677.0,543.0,48.0,132.0,87.0,233.0,95.0,173.0,-0.12053668025532283,-0.992708874098054,train,165.0,1,0.9245287209989731,1
BB,2016-07-11,112.0,255.0,677.0,543.0,48.0,132.0,87.0,233.0,95.0,-0.23931566428755743,-0.9709418174260521,train,165.0,0,0.8953123253178042,1
BB,2016-07-18,53.0,112.0,255.0,677.0,543.0,48.0,132.0,87.0,233.0,-0.3546048870425356,-0.9350162426854148,train,165.0,0,0.6601891644304966,0
BB,2016-07-25,9.0,53.0,112.0,255.0,677.0,543.0,48.0,132.0,87.0,-0.46472317204376806,-0.8854560256532101,train,165.0,0,0.47704007450086444,0
BB,2016-08-01,0.0,9.0,53.0,112.0,255.0,677.0,543.0,48.0,132.0,-0.5680647467311556,-0.8229838658936566,train,165.0,0,0.3058897303961574,0
BB,2016-08-08,0.0,0.0,9.0,53.0,112.0,255.0,677.0,543.0,48.0,-0.663122658240795,-0.7485107481711013,train,165.0,0,0.14681640757251346,0
BB,2016-08-15,0.0,0.0,0.0,9.0,53.0,112.0,255.0,677.0,543.0,-0.7485107481711011,-0.6631226582407952,train,165.0,0,0.05994523445082637,0
BB,2016-08-22,0.0,0.0,0.0,0.0,9.0,53.0,112.0,255.0,677.0,-0.8229838658936564,-0.5680647467311559,train,165.0,0,0.040222376831116055,0
BB,2016-08-29,0.0,0.0,0.0,0.0,0.0,9.0,53.0,112.0,255.0,-0.8854560256532096,-0.4647231720437691,train,165.0,0,0.044581219292743925,0
BB,2016-09-05,0.0,0.0,0.0,0.0,0.0,0.0,9.0,53.0,112.0,-0.9350162426854147,-0.3546048870425359,train,165.0,0,0.02345337719211772,0
BB,2016-09-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,53.0,-0.970941817426052,-0.23931566428755774,train,165.0,0,0.01009572400888531,0
BB,2016-09-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,-0.992708874098054,-0.12053668025532357,train,165.0,0,0.0076737092521534265,0
BB,2016-09-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.8369701987210297e-16,train,165.0,0,0.008091681810665432,0
BB,2016-10-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.992708874098054,0.1205366802553232,train,165.0,0,0.005490457898428141,0
BB,2016-10-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9709418174260521,0.23931566428755738,train,165.0,0,0.0038330208738699143,0
BB,2016-10-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9350162426854148,0.35460488704253557,train,165.0,0,0.002768712198599736,0
BB,2016-10-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8854560256532101,0.464723172043768,train,165.0,0,0.0020796049249813438,0
BB,2016-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.822983865893657,0.5680647467311548,train,165.0,0,0.0016312704834727692,0
BB,2016-11-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7485107481711011,0.6631226582407952,train,165.0,0,0.0013411886803814438,0
BB,2016-11-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6631226582407955,0.7485107481711007,train,165.0,0,0.0011591410711975566,0
BB,2016-11-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5680647467311559,0.8229838658936564,train,165.0,0,0.001055366196990406,0
BB,2016-11-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4647231720437684,0.88545602565321,train,165.0,0,0.0010136598144584543,0
BB,2016-12-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.35460488704253595,0.9350162426854147,train,165.0,0,0.001027689250419541,0
BB,2016-12-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2393156642875578,0.970941817426052,train,165.0,0,0.0010995725046274078,0
BB,2016-12-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12053668025532363,0.992708874098054,train,165.0,0,0.0012403520679879912,0
BB,2016-12-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.432490598706546e-16,1.0,train,165.0,0,0.001472487075294112,0
BB,2017-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12053668025532305,0.992708874098054,val,165.0,0,0.0018350101283209402,0
BB,2017-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23931566428755774,0.970941817426052,val,165.0,0,0.0023926627010834706,0
BB,2017-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3546048870425356,0.9350162426854148,val,165.0,0,0.0032512491443357117,0
BB,2017-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4647231720437685,0.8854560256532099,val,165.0,0,0.004582706868592003,0
BB,2017-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5680647467311558,0.8229838658936564,val,165.0,0,0.006664881096988635,0
BB,2017-02-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6631226582407952,0.7485107481711011,val,165.0,0,0.009942118415087976,0
BB,2017-02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7485107481711011,0.6631226582407953,val,165.0,0,0.015111771061456286,0
BB,2017-02-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8229838658936564,0.5680647467311559,val,165.0,0,0.023234451648620907,0
BB,2017-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8854560256532099,0.4647231720437686,val,165.0,0,0.035845078420768846,0
BB,2017-03-06,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9350162426854148,0.35460488704253557,val,165.0,0,0.05499895900443675,0
