model,precision,recall,f1,tp,fp,tn,fn,roc_auc,pr_auc,decision_rule,prob_threshold
Logistic Regression,0.2921348314606741,0.8666666666666667,0.4369747899159664,26.0,63.0,339.0,4.0,0.9087479270315092,0.3718633327487403,prob >= prob_threshold (picked on val for max F1),0.67
Random Forest,0.2323232323232323,0.7666666666666667,0.3565891472868217,23.0,76.0,326.0,7.0,0.8816334991708127,0.3479212261343554,prob >= prob_threshold (picked on val for max F1),0.22
Naive persistence (count),0.3333333333333333,0.3333333333333333,0.3333333333333333,10.0,20.0,382.0,20.0,0.8433665008291875,0.3329907177777478,lag_1 > count_threshold,
Moving average 3w (count),0.1764705882352941,0.2,0.1875,6.0,28.0,374.0,24.0,0.8371890547263682,0.2444462299781757,mean(lag_1..lag_3) > count_threshold,
LSTM,0.2549019607843137,0.43333333333333335,0.32098765432098764,,,,,0.8567578792572021,0.2715868055820465,,0.62
